order_id,timestamp,restaurant_id,customer_id,order_type,items,total_amount,payment_method,order_status
ORD-20251210-872859,2025-12-10T10:33:41.827975,REST-MUM-001,CUST-10582,takeaway,"[{""item_id"": ""ITEM-504"", ""name"": ""Gajar Halwa"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 177.01, ""subtotal"": 177.01}]",177.01,card,completed
ORD-20251210-579097,2025-12-10T10:45:39.827975,REST-BLR-001,CUST-10378,delivery,"[{""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 246.19, ""subtotal"": 246.19}, {""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 222.32, ""subtotal"": 666.96}, {""item_id"": ""ITEM-402"", ""name"": ""Garlic Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 104.13, ""subtotal"": 104.13}, {""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 206.36, ""subtotal"": 619.08}, {""item_id"": ""ITEM-504"", ""name"": ""Gajar Halwa"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 164.89, ""subtotal"": 164.89}]",1801.25,wallet,delivered
ORD-20251210-382843,2025-12-10T11:02:24.827975,REST-MUM-001,CUST-10602,takeaway,"[{""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 97.12, ""subtotal"": 194.24}, {""item_id"": ""ITEM-205"", ""name"": ""Chole Bhature"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 414.63, ""subtotal"": 414.63}]",608.87,cash,completed
ORD-20251210-287583,2025-12-10T11:04:03.827975,REST-MUM-001,CUST-10847,delivery,"[{""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 93.2, ""subtotal"": 93.2}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 495.73, ""subtotal"": 1487.19}]",1580.39,wallet,delivered
ORD-20251210-973813,2025-12-10T11:17:24.827975,REST-DEL-002,CUST-10626,dine_in,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 205.56, ""subtotal"": 411.12}, {""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 104.4, ""subtotal"": 104.4}, {""item_id"": ""ITEM-402"", ""name"": ""Garlic Naan"", ""category"": ""Bread"", ""quantity"": 2, ""unit_price"": 99.79, ""subtotal"": 199.58}]",715.1,card,completed
ORD-20251210-149430,2025-12-10T11:38:16.827975,REST-BLR-001,CUST-10833,takeaway,"[{""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 93.49, ""subtotal"": 93.49}]",93.49,cash,completed
ORD-20251210-766045,2025-12-10T12:14:10.827975,REST-DEL-002,CUST-10416,takeaway,"[{""item_id"": ""ITEM-402"", ""name"": ""Garlic Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 99.79, ""subtotal"": 99.79}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 92.16, ""subtotal"": 276.48}, {""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 205.56, ""subtotal"": 205.56}, {""item_id"": ""ITEM-404"", ""name"": ""Tandoori Roti"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 62.66, ""subtotal"": 62.66}]",644.49,cash,completed
ORD-20251210-533723,2025-12-10T12:16:53.827975,REST-DEL-001,CUST-10665,delivery,"[{""item_id"": ""ITEM-103"", ""name"": ""Chicken 65"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 376.7, ""subtotal"": 753.4}]",753.4,cash,delivered
ORD-20251210-610732,2025-12-10T12:18:58.827975,REST-DEL-001,CUST-10829,dine_in,"[{""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 229.62, ""subtotal"": 688.86}, {""item_id"": ""ITEM-302"", ""name"": ""Chicken Tikka Masala"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 497.46, ""subtotal"": 1492.38}, {""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 320.16, ""subtotal"": 960.48}]",3141.72,wallet,completed
ORD-20251210-755649,2025-12-10T12:37:45.827975,REST-BLR-001,CUST-10143,takeaway,"[{""item_id"": ""ITEM-603"", ""name"": ""Sweet Lassi"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 152.24, ""subtotal"": 304.48}, {""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 351.31, ""subtotal"": 1053.93}]",1358.41,cash,completed
ORD-20251210-271631,2025-12-10T12:41:29.827975,REST-DEL-002,CUST-10649,delivery,"[{""item_id"": ""ITEM-303"", ""name"": ""Lamb Rogan Josh"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 634.22, ""subtotal"": 1902.66}, {""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 119.03, ""subtotal"": 357.09}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 183.64, ""subtotal"": 550.92}, {""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 429.09, ""subtotal"": 858.18}]",3668.85,cash,delivered
ORD-20251210-622331,2025-12-10T12:53:12.827975,REST-DEL-002,CUST-10563,takeaway,"[{""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 358.31, ""subtotal"": 716.62}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 503.77, ""subtotal"": 1511.31}, {""item_id"": ""ITEM-202"", ""name"": ""Dal Makhani"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 313.57, ""subtotal"": 627.14}, {""item_id"": ""ITEM-201"", ""name"": ""Paneer Butter Masala"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 356.66, ""subtotal"": 356.66}]",3211.73,wallet,completed
ORD-20251210-854824,2025-12-10T13:40:43.827975,REST-MUM-002,CUST-10131,takeaway,"[{""item_id"": ""ITEM-504"", ""name"": ""Gajar Halwa"", ""category"": ""Dessert"", ""quantity"": 1, ""unit_price"": 162.88, ""subtotal"": 162.88}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 245.51, ""subtotal"": 491.02}, {""item_id"": ""ITEM-202"", ""name"": ""Dal Makhani"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 301.65, ""subtotal"": 904.95}]",1558.85,wallet,completed
ORD-20251210-880712,2025-12-10T13:47:07.827975,REST-DEL-002,CUST-10763,delivery,"[{""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 310.34, ""subtotal"": 310.34}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 121.12, ""subtotal"": 363.36}, {""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 183.64, ""subtotal"": 550.92}]",1224.62,card,delivered
ORD-20251210-697155,2025-12-10T14:00:48.827975,REST-BLR-001,CUST-10421,delivery,"[{""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 420.32, ""subtotal"": 420.32}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 246.19, ""subtotal"": 738.57}]",1158.89,card,delivered
ORD-20251210-681365,2025-12-10T14:17:02.827975,REST-MUM-001,CUST-10119,delivery,"[{""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 93.2, ""subtotal"": 279.6}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 233.78, ""subtotal"": 701.34}, {""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 124.3, ""subtotal"": 372.9}, {""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 310.75, ""subtotal"": 621.5}]",1975.34,cash,delivered
ORD-20251210-212799,2025-12-10T14:21:19.827975,REST-MUM-001,CUST-10203,dine_in,"[{""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 2, ""unit_price"": 79.4, ""subtotal"": 158.8}, {""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 456.63, ""subtotal"": 913.26}, {""item_id"": ""ITEM-504"", ""name"": ""Gajar Halwa"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 177.01, ""subtotal"": 531.03}]",1603.09,cash,completed
ORD-20251210-970556,2025-12-10T14:30:18.827975,REST-MUM-002,CUST-10160,dine_in,"[{""item_id"": ""ITEM-603"", ""name"": ""Sweet Lassi"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 154.98, ""subtotal"": 309.96}, {""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 121.06, ""subtotal"": 363.18}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 2, ""unit_price"": 86.79, ""subtotal"": 173.58}, {""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 2, ""unit_price"": 347.93, ""subtotal"": 695.86}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 520.05, ""subtotal"": 520.05}]",2062.63,cash,completed
ORD-20251210-390998,2025-12-10T15:05:06.827975,REST-MUM-001,CUST-10817,takeaway,"[{""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 79.4, ""subtotal"": 238.2}, {""item_id"": ""ITEM-205"", ""name"": ""Chole Bhature"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 414.63, ""subtotal"": 1243.89}, {""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 199.41, ""subtotal"": 398.82}]",1880.91,cash,completed
ORD-20251210-988981,2025-12-10T15:16:28.827975,REST-MUM-001,CUST-10754,delivery,"[{""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 1, ""unit_price"": 174.1, ""subtotal"": 174.1}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 495.73, ""subtotal"": 1487.19}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 93.2, ""subtotal"": 279.6}, {""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 79.4, ""subtotal"": 79.4}]",2020.29,cash,delivered
ORD-20251210-483857,2025-12-10T16:17:04.827975,REST-DEL-001,CUST-10906,delivery,"[{""item_id"": ""ITEM-405"", ""name"": ""Jeera Rice"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 177.86, ""subtotal"": 533.58}, {""item_id"": ""ITEM-404"", ""name"": ""Tandoori Roti"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 60.2, ""subtotal"": 180.6}]",714.18,card,delivered
ORD-20251210-392862,2025-12-10T16:26:41.827975,REST-DEL-001,CUST-10274,dine_in,"[{""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 198.41, ""subtotal"": 396.82}, {""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 124.47, ""subtotal"": 124.47}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 229.62, ""subtotal"": 229.62}]",750.91,card,completed
ORD-20251210-609797,2025-12-10T16:46:07.827975,REST-MUM-001,CUST-10641,delivery,"[{""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 116.79, ""subtotal"": 233.58}]",233.58,cash,delivered
ORD-20251210-703380,2025-12-10T16:57:38.827975,REST-MUM-001,CUST-10366,dine_in,"[{""item_id"": ""ITEM-601"", ""name"": ""Masala Chai"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 124.3, ""subtotal"": 372.9}, {""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 529.84, ""subtotal"": 1059.68}, {""item_id"": ""ITEM-602"", ""name"": ""Mango Lassi"", ""category"": ""Beverage"", ""quantity"": 1, ""unit_price"": 187.06, ""subtotal"": 187.06}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 2, ""unit_price"": 93.2, ""subtotal"": 186.4}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 495.73, ""subtotal"": 991.46}]",2797.5,cash,completed
ORD-20251210-354307,2025-12-10T17:05:48.827975,REST-DEL-001,CUST-10895,delivery,"[{""item_id"": ""ITEM-404"", ""name"": ""Tandoori Roti"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 60.2, ""subtotal"": 60.2}, {""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 432.51, ""subtotal"": 865.02}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 475.3, ""subtotal"": 475.3}]",1400.52,wallet,delivered
