restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level
REST-DEL-001,ITEM-101,Samosa (2 pcs),Starter,124.47,"Potato, Peas, Spices, Pastry",True,Medium
REST-DEL-001,ITEM-102,Paneer Tikka,Starter,229.62,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DEL-001,ITEM-103,Chicken 65,Starter,376.7,"Chicken, Curry Leaves, Spices",False,Hot
REST-DEL-001,ITEM-104,Aloo Tikki Chaat,Starter,225.59,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DEL-001,ITEM-105,Chicken Seekh Kebab,Starter,320.16,"Minced Chicken, Spices, Onion",False,Medium
REST-DEL-001,ITEM-201,Paneer Butter Masala,Main Course,343.63,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DEL-001,ITEM-202,Dal Makhani,Main Course,302.31,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DEL-001,ITEM-203,Palak Paneer,Main Course,413.17,"Spinach, Paneer, Spices",True,Medium
REST-DEL-001,ITEM-204,Malai Kofta,Main Course,432.51,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DEL-001,ITEM-205,Chole Bhature,Main Course,390.98,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DEL-001,ITEM-301,Butter Chicken,Main Course,522.82,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DEL-001,ITEM-302,Chicken Tikka Masala,Main Course,497.46,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-DEL-001,ITEM-303,Lamb Rogan Josh,Main Course,635.11,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-DEL-001,ITEM-304,Fish Curry,Main Course,552.77,"Fish, Coconut, Curry Leaves",False,Hot
REST-DEL-001,ITEM-305,Chicken Biryani,Main Course,475.3,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-DEL-001,ITEM-401,Naan,Bread,79.06,"Flour, Yogurt, Yeast",True,None
REST-DEL-001,ITEM-402,Garlic Naan,Bread,104.66,"Flour, Garlic, Butter",True,None
REST-DEL-001,ITEM-403,Butter Naan,Bread,87.24,"Flour, Butter, Milk",True,None
REST-DEL-001,ITEM-404,Tandoori Roti,Bread,60.2,Whole Wheat Flour,True,None
REST-DEL-001,ITEM-405,Jeera Rice,Rice,177.86,"Basmati Rice, Cumin Seeds",True,None
REST-DEL-001,ITEM-406,Vegetable Biryani,Rice,348.17,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-DEL-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,95.72,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-DEL-001,ITEM-502,Rasmalai (2 pcs),Dessert,182.29,"Cottage Cheese, Milk, Saffron",True,None
REST-DEL-001,ITEM-503,Kulfi,Dessert,198.41,"Milk, Cardamom, Pistachios",True,None
REST-DEL-001,ITEM-504,Gajar Halwa,Dessert,173.74,"Carrot, Milk, Ghee, Sugar",True,None
REST-DEL-001,ITEM-601,Masala Chai,Beverage,124.94,"Tea, Milk, Spices",True,None
REST-DEL-001,ITEM-602,Mango Lassi,Beverage,183.98,"Mango, Yogurt, Sugar",True,None
REST-DEL-001,ITEM-603,Sweet Lassi,Beverage,148.45,"Yogurt, Sugar, Cardamom",True,None
REST-DEL-001,ITEM-604,Fresh Lime Soda,Beverage,123.34,"Lime, Soda, Salt/Sugar",True,None
REST-DEL-002,ITEM-101,Samosa (2 pcs),Starter,121.12,"Potato, Peas, Spices, Pastry",True,Medium
REST-DEL-002,ITEM-102,Paneer Tikka,Starter,234.39,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DEL-002,ITEM-103,Chicken 65,Starter,393.08,"Chicken, Curry Leaves, Spices",False,Hot
REST-DEL-002,ITEM-104,Aloo Tikki Chaat,Starter,228.04,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-DEL-002,ITEM-105,Chicken Seekh Kebab,Starter,310.34,"Minced Chicken, Spices, Onion",False,Medium
REST-DEL-002,ITEM-201,Paneer Butter Masala,Main Course,356.66,"Paneer, Tomato, Cream, Butter",True,Mild
REST-DEL-002,ITEM-202,Dal Makhani,Main Course,313.57,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-DEL-002,ITEM-203,Palak Paneer,Main Course,420.52,"Spinach, Paneer, Spices",True,Medium
REST-DEL-002,ITEM-204,Malai Kofta,Main Course,429.09,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-DEL-002,ITEM-205,Chole Bhature,Main Course,383.26,"Chickpeas, Fried Bread, Spices",True,Medium
REST-DEL-002,ITEM-301,Butter Chicken,Main Course,543.56,"Chicken, Tomato, Butter, Cream",False,Mild
REST-DEL-002,ITEM-302,Chicken Tikka Masala,Main Course,509.19,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
