review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000003,ORD-20251210-671747,CUST-10888,REST-MUM-001,Enjoyed the Chicken Seekh Kebab and Sweet Lassi! Chicken Seekh Kebab was very good. Portion sizes were generous. Recommend!,4,2025-12-11T11:48:03.930309
REV-000004,ORD-20251210-165041,CUST-10902,REST-DEL-001,Not bad  not great. Chicken Tikka Masala  Chicken 65  Gajar Halwa  and Chicken Biryani were edible. Chicken Biryani needed more seasoning.,3,2025-12-11T12:37:33.930309
REV-000007,ORD-20251210-822937,CUST-10314,REST-DEL-001,Outstanding experience! The Dal Makhani  Lamb Rogan Josh  Chicken 65  Garlic Naan  and Mango Lassi exceeded all expectations. Dal Makhani was the star of the meal. Will definitely order again!,5,2025-12-11T16:00:23.930309
REV-000020,ORD-20251211-249022,CUST-10549,REST-MUM-002,Pleasant meal! Fish Curry  Rasmalai (2 pcs)  and Lamb Rogan Josh arrived warm. Rasmalai (2 pcs) was tasty though not exceptional. Would order again.,4,2025-12-12T13:03:24.930309
REV-000011,ORD-20251210-762772,CUST-10340,REST-DEL-001,Great food overall. Tandoori Roti and Lamb Rogan Josh were tasty  especially the Lamb Rogan Josh. Would order again!,4,2025-12-12T20:40:53.930309
REV-000001,ORD-20251210-308273,CUST-10887,REST-DEL-002,Wow! Just wow! Lamb Rogan Josh were all fantastic. Lamb Rogan Josh was particularly memorable. Can't wait to order again!,5,2025-12-13T11:39:03.930309
REV-000017,ORD-20251211-157915,CUST-10620,REST-DEL-002,Perfect in every way! Dal Makhani  Naan  Aloo Tikki Chaat  and Paneer Butter Masala were all excellent. Paneer Butter Masala stood out with its rich  authentic taste.,5,2025-12-13T12:27:03.930309
REV-000027,ORD-20251211-252159,CUST-10462,REST-DEL-002,Mediocre. Jeera Rice  Samosa (2 pcs)  Paneer Butter Masala  Sweet Lassi  and Garlic Naan were fine but forgettable. Sweet Lassi didn't stand out.,3,2025-12-13T16:02:52.930309
REV-000009,ORD-20251210-902225,CUST-10251,REST-MUM-001,Absolutely amazing Aloo Tikki Chaat  Lamb Rogan Josh  Paneer Butter Masala  and Jeera Rice! The Paneer Butter Masala was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-13T18:04:26.930309
REV-000028,ORD-20251211-932623,CUST-10327,REST-MUM-002,Really good Lamb Rogan Josh! The Lamb Rogan Josh was delicious. Slight delay in delivery but food quality made up for it.,4,2025-12-13T18:33:41.930309
REV-000032,ORD-20251211-179624,CUST-10648,REST-DEL-002,Enjoyed the Chole Bhature  Gulab Jamun (2 pcs)  and Garlic Naan! Chole Bhature was very good. Portion sizes were generous. Recommend!,4,2025-12-13T21:56:00.930309
REV-000034,ORD-20251211-846780,CUST-10054,REST-DEL-002,Really good Aloo Tikki Chaat  Naan  Butter Chicken  Chicken Tikka Masala  and Butter Naan! The Chicken Tikka Masala was delicious. Slight delay in delivery but food quality made up for it.,4,2025-12-13T22:31:05.930309
REV-000015,ORD-20251211-562590,CUST-10683,REST-BLR-001,Wow! Just wow! Jeera Rice  Naan  Chicken Biryani  Dal Makhani  and Fish Curry were all fantastic. Fish Curry was particularly memorable. Can't wait to order again!,5,2025-12-14T10:26:15.930309
REV-000002,ORD-20251210-343212,CUST-10066,REST-DEL-002,It was okay. Paneer Butter Masala  Fish Curry  Chole Bhature  and Aloo Tikki Chaat arrived lukewarm. Fish Curry tasted fine but could be better.,3,2025-12-14T11:40:14.930309
REV-000018,ORD-20251211-239433,CUST-10093,REST-DEL-002,Pleasant meal! Chicken 65 arrived warm. Chicken 65 was tasty though not exceptional. Would order again.,4,2025-12-14T12:48:14.930309
REV-000005,ORD-20251210-126384,CUST-10184,REST-MUM-001,Terrible experience! Butter Naan and Kulfi were all inedible. Kulfi was completely burnt. Waste of money!,1,2025-12-14T13:06:04.930309
REV-000038,ORD-20251212-504589,CUST-10780,REST-MUM-001,Outstanding experience! The Chole Bhature and Chicken 65 exceeded all expectations. Chole Bhature was the star of the meal. Will definitely order again!,5,2025-12-14T16:35:57.930309
REV-000029,ORD-20251211-695681,CUST-10631,REST-MUM-001,Pleasant meal! Gajar Halwa and Masala Chai arrived warm. Gajar Halwa was tasty though not exceptional. Would order again.,4,2025-12-14T19:41:04.930309
REV-000010,ORD-20251210-741778,CUST-10397,REST-MUM-002,Solid experience. Dal Makhani were well-prepared. Dal Makhani had great flavor. Minor issues with packaging.,4,2025-12-14T19:55:19.930309
REV-000030,ORD-20251211-562252,CUST-10801,REST-MUM-002,Outstanding experience! The Aloo Tikki Chaat  Naan  Vegetable Biryani  and Sweet Lassi exceeded all expectations. Naan was the star of the meal. Will definitely order again!,5,2025-12-14T20:22:48.930309
REV-000044,ORD-20251213-169376,CUST-10108,REST-MUM-001,Good quality food. Butter Naan and Palak Paneer were nicely done. Palak Paneer could have been slightly spicier but still good!,4,2025-12-15T10:06:28.930309
REV-000016,ORD-20251211-656039,CUST-10900,REST-BLR-001,Good quality food. Paneer Butter Masala  Chicken 65  Butter Naan  and Chole Bhature were nicely done. Chole Bhature could have been slightly spicier but still good!,4,2025-12-15T11:00:43.930309
REV-000046,ORD-20251213-592531,CUST-10918,REST-MUM-002,Pleasant meal! Paneer Butter Masala and Gulab Jamun (2 pcs) arrived warm. Gulab Jamun (2 pcs) was tasty though not exceptional. Would order again.,4,2025-12-15T12:00:11.930309
REV-000035,ORD-20251212-523141,CUST-10704,REST-DEL-002,Mediocre. Gulab Jamun (2 pcs)  Kulfi  Samosa (2 pcs)  Gajar Halwa  and Butter Chicken were fine but forgettable. Butter Chicken didn't stand out.,3,2025-12-15T12:14:47.930309
REV-000019,ORD-20251211-732843,CUST-10788,REST-DEL-002,Hands down the best Dal Makhani I've ever had! Dal Makhani  Rasmalai (2 pcs)  and Jeera Rice were all prepared beautifully. Fresh and flavorful!,5,2025-12-15T12:53:28.930309
REV-000021,ORD-20251211-958123,CUST-10792,REST-DEL-001,Great food overall. Chicken 65 and Dal Makhani were tasty  especially the Chicken 65. Would order again!,4,2025-12-15T13:34:30.930309
REV-000023,ORD-20251211-186728,CUST-10046,REST-MUM-001,Not bad  not great. Dal Makhani  Butter Naan  and Paneer Tikka were edible. Butter Naan needed more seasoning.,3,2025-12-15T14:02:06.930309
REV-000026,ORD-20251211-485757,CUST-10479,REST-MUM-002,Best Indian food in UAE! Mango Lassi were incredible. Mango Lassi had the perfect balance of spices. Five stars!,5,2025-12-15T15:53:59.930309
REV-000065,ORD-20251214-225169,CUST-10906,REST-BLR-001,Not bad  not great. Gulab Jamun (2 pcs)  Chicken Seekh Kebab  Mango Lassi  Fresh Lime Soda  and Jeera Rice were edible. Jeera Rice needed more seasoning.,3,2025-12-15T17:54:08.930309
REV-000012,ORD-20251210-988783,CUST-10327,REST-MUM-002,Pleasant meal! Lamb Rogan Josh  Chicken Seekh Kebab  Malai Kofta  Butter Naan  and Rasmalai (2 pcs) arrived warm. Malai Kofta was tasty though not exceptional. Would order again.,4,2025-12-15T21:11:00.930309
